year,make,model,forward_collision_warning,adaptive_cruise_control,lane_departure_warning,lane_keeping_assist,blind_spot_monitor,rear_cross_traffic_alert,backup_camera,adaptive_headlights,antilock_braking_system,automatic_emergency_braking,automatic_parallel_parking,backup_warning,bicycle_detection,brake_assist,curve_speed_warning,drowsiness_alert,electronic_stability_control,high_speed_alert,hill_descent_assist,hill_start_assist,left_turn_crash_avoidance,pedestrian_detection,push_button_start,sideview_camera,temperature_warning,tire_pressure_monitoring_system,traction_control,obstacle_detection
2017,Honda,HR-V,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,LW*,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Honda,HR-V,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,LW*,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Honda,HR-V,Option,Option,Option,Option,LW*,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Honda,Insight,Standard,Standard,Standard,Standard,LW*,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Honda,Odyssey,Option,Unknown / Not Available,Option,Unknown / Not Available,LW*/Option,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Honda,Odyssey,Option,Unknown / Not Available,Option,Unknown / Not Available,LW*/Option,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Honda,Odyssey,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Honda,Pilot,Option,Option,Option,Option,LW*/Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Honda,Pilot,Option,Option,Option,Option,LW*/Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Honda,Pilot,Option,Option,Option,Option,LW*/Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Honda,Pilot,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Honda,Ridgeline,Option,Option,Option,Option,LW*/Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Honda,Ridgeline,Option,Option,Option,Option,LW*/Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,Accent,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Hyundai,Accent,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Hyundai,Accent,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,Azera,Option,Unknown / Not Available,Option,Unknown / Not Available,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Hyundai,Azera,Option,Unknown / Not Available,Option,Unknown / Not Available,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,Elantra,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Hyundai,Elantra,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Hyundai,Elantra,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,Equus,Option,Unknown / Not Available,Standard,Unknown / Not Available,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Hyundai,Equus,Option,Unknown / Not Available,Standard,Unknown / Not Available,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,Genesis,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,Genesis Coupe,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Hyundai,Ioniq,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Hyundai,Ioniq,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Hyundai,Kona,Option,Option,Unknown / Not Available,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,SantaFe,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Hyundai,SantaFe,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Hyundai,SantaFe,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,SantaFe Sport,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Hyundai,SantaFe Sport,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Hyundai,SantaFe Sport,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,Sonata,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Hyundai,Sonata,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Hyundai,Sonata,Option,Option,Option,Option,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,Sonata Hybrid,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Hyundai,Sonata Hybrid,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,Tucson,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Hyundai,Tucson,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Hyundai,Tucson,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Hyundai,Tucson,Standard,Standard,Unknown / Not Available,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,Veloster,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2019,Hyundai,Veloster,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Infiniti,Q50,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Infiniti,Q50,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Infiniti,Q50,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Infiniti,Q60,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Infiniti,Q60,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Infiniti,Q60,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Infiniti,Q70,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Infiniti,Q70,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Infiniti,Q70,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Infiniti,QX30,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Infiniti,QX30,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Infiniti,QX30,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Infiniti,QX50,Option,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Infiniti,QX50,Option,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2019,Infiniti,QX50,Standard,Standard,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Infiniti,QX60,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Infiniti,QX60,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Infiniti,QX60,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Infiniti,QX60,Standard,Standard,Option,Option,Standard,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Infiniti,QX70,Option,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Infiniti,QX70,Option,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Infiniti,QX80,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Infiniti,QX80,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Infiniti,QX80,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Jaguar,E-Pace,Option,Standard/Option,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Jaguar,F-Pace,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Jaguar,F-Pace,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Jaguar,F-Pace,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Jaguar,F-Type,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Jaguar,F-Type,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Jaguar,F-Type,Option,Standard/Option,Standard,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Jaguar,F-Type,Option,Standard/Option,Standard,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Jaguar,XE,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Jaguar,XE,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Jaguar,XE,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Jaguar,XF,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Jaguar,XF,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Jaguar,XF,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Jaguar,XJ,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Jaguar,XJ,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Jaguar,XJ,Option,Option,Option,Option,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Jeep,Cherokee,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Jeep,Cherokee,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Jeep,Cherokee,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Jeep,Compass,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,Jeep,Compass,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Jeep,Compass,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Jeep,Grand Cherokee,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Jeep,Grand Cherokee,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Jeep,Grand Cherokee,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Jeep,New Wrangler,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Jeep,Patriot,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Jeep,Patriot,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2016,Jeep,Renegade,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Jeep,Renegade,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Jeep,Renegade,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Jeep,Wrangler,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Jeep,Wrangler,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Jeep,Wrangler JK (old),Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Kia,Cadenza,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Kia,Cadenza,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Kia,Cadenza,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Kia,Forte,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Kia,Forte,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Kia,Forte,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Kia,K900,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Kia,K900,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Kia,Niro,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Kia,Niro,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Kia,Optima,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Kia,Optima,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Kia,Optima,Option,Option,Option,Unknown / Not Available,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Kia,Rio,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Kia,Rio,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,Kia,Rio,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Kia,Sedona,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Kia,Sedona,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Kia,Sedona,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Kia,Sorento,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Kia,Sorento,Option,Option,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Kia,Sorento,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Kia,Sorento,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Kia,Soul,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Kia,Soul,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Kia,Soul,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Kia,Sportage,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Kia,Sportage,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Kia,Sportage,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Kia,Stinger,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Land Rover,Discovery,Option,Standard/Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Land Rover,Discovery,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Land Rover,Discovery Sport,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Land Rover,Discovery Sport,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Land Rover,Discovery Sport,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Land Rover,LR4,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Land Rover,Range Rover,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Land Rover,Range Rover,Standard,Standard/Option,Standard,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Land Rover,Range Rover,Option,Standard/Option,Standard,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Land Rover,Range Rover Evoque,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Land Rover,Range Rover Evoque,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Land Rover,Range Rover Evoque,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Land Rover,Range Rover Sport,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Land Rover,Range Rover Sport,Standard,Standard/Option,Standard,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Land Rover,Range Rover Sport,Option,Standard/Option,Standard,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Land Rover,Range Rover Velar,Standard,Standard/Option,Standard,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Land Rover,Range Rover Velar,Option,Standard/Option,Standard,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lexus,CT 200h,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Lexus,CT 200h,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2016,Lexus,ES,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lexus,ES,Standard,Standard,Standard,Standard,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lexus,ES,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lexus,GS,Option,Option,Option,Option,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lexus,GS,Standard,Standard,Standard,Standard,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lexus,GS,Standard,Standard,Standard,Standard,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lexus,GX,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lexus,GX,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lexus,GX,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lexus,IS,Option,Option,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Lexus,IS,Standard,Standard,Standard,Standard,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lexus,IS,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Lexus,LC,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lexus,LS,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lexus,LS,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lexus,LS,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lexus,LX,Standard,Standard,Standard,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lexus,LX,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lexus,LX,Standard,Standard,Standard,Unknown / Not Available,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lexus,NX,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lexus,NX,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lexus,NX,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Lexus,NX,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lexus,RC,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lexus,RC,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lexus,RC,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Lexus,RC,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lexus,RX,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lexus,RX,Standard,Standard,Standard,Standard,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lexus,RX,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Lincoln,Continential,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lincoln,Continential,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lincoln,MKC,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lincoln,MKC,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lincoln,MKC,Option,Unknown / Not Available,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Lincoln,MKC,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lincoln,MKS,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Lincoln,MKT,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lincoln,MKT,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lincoln,MKT,Option,Unknown / Not Available,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lincoln,MKX,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lincoln,MKX,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lincoln,MKZ,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lincoln,MKZ,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lincoln,MKZ,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Lincoln,Navigation,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Lincoln,Navigation,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Lincoln,Navigation,Option,Option,Option,Option,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
